leftLowerArm_positionX,leftLowerArm_positionY,leftLowerArm_positionZ,leftLowerArm_rotation_x,leftLowerArm_rotation_y,leftLowerArm_rotation_z,leftLowerArm_rotation_w,leftHand_positionX,leftHand_positionY,leftHand_positionZ,leftHand_rotation_x,leftHand_rotation_y,leftHand_rotation_z,leftHand_rotation_w,leftThumbProximal_positionX,leftThumbProximal_positionY,leftThumbProximal_positionZ,leftThumbProximal_rotation_x,leftThumbProximal_rotation_y,leftThumbProximal_rotation_z,leftThumbProximal_rotation_w,leftThumbMedial_positionX,leftThumbMedial_positionY,leftThumbMedial_positionZ,leftThumbMedial_rotation_x,leftThumbMedial_rotation_y,leftThumbMedial_rotation_z,leftThumbMedial_rotation_w,leftThumbDistal_positionX,leftThumbDistal_positionY,leftThumbDistal_positionZ,leftThumbDistal_rotation_x,leftThumbDistal_rotation_y,leftThumbDistal_rotation_z,leftThumbDistal_rotation_w,leftThumbTip_positionX,leftThumbTip_positionY,leftThumbTip_positionZ,leftThumbTip_rotation_x,leftThumbTip_rotation_y,leftThumbTip_rotation_z,leftThumbTip_rotation_w,leftIndexProximal_positionX,leftIndexProximal_positionY,leftIndexProximal_positionZ,leftIndexProximal_rotation_x,leftIndexProximal_rotation_y,leftIndexProximal_rotation_z,leftIndexProximal_rotation_w,leftIndexMedial_positionX,leftIndexMedial_positionY,leftIndexMedial_positionZ,leftIndexMedial_rotation_x,leftIndexMedial_rotation_y,leftIndexMedial_rotation_z,leftIndexMedial_rotation_w,leftIndexDistal_positionX,leftIndexDistal_positionY,leftIndexDistal_positionZ,leftIndexDistal_rotation_x,leftIndexDistal_rotation_y,leftIndexDistal_rotation_z,leftIndexDistal_rotation_w,leftIndexTip_positionX,leftIndexTip_positionY,leftIndexTip_positionZ,leftIndexTip_rotation_x,leftIndexTip_rotation_y,leftIndexTip_rotation_z,leftIndexTip_rotation_w,leftMiddleProximal_positionX,leftMiddleProximal_positionY,leftMiddleProximal_positionZ,leftMiddleProximal_rotation_x,leftMiddleProximal_rotation_y,leftMiddleProximal_rotation_z,leftMiddleProximal_rotation_w,leftMiddleMedial_positionX,leftMiddleMedial_positionY,leftMiddleMedial_positionZ,leftMiddleMedial_rotation_x,leftMiddleMedial_rotation_y,leftMiddleMedial_rotation_z,leftMiddleMedial_rotation_w,leftMiddleDistal_positionX,leftMiddleDistal_positionY,leftMiddleDistal_positionZ,leftMiddleDistal_rotation_x,leftMiddleDistal_rotation_y,leftMiddleDistal_rotation_z,leftMiddleDistal_rotation_w,leftMiddleTip_positionX,leftMiddleTip_positionY,leftMiddleTip_positionZ,leftMiddleTip_rotation_x,leftMiddleTip_rotation_y,leftMiddleTip_rotation_z,leftMiddleTip_rotation_w,leftRingProximal_positionX,leftRingProximal_positionY,leftRingProximal_positionZ,leftRingProximal_rotation_x,leftRingProximal_rotation_y,leftRingProximal_rotation_z,leftRingProximal_rotation_w,leftRingMedial_positionX,leftRingMedial_positionY,leftRingMedial_positionZ,leftRingMedial_rotation_x,leftRingMedial_rotation_y,leftRingMedial_rotation_z,leftRingMedial_rotation_w,leftRingDistal_positionX,leftRingDistal_positionY,leftRingDistal_positionZ,leftRingDistal_rotation_x,leftRingDistal_rotation_y,leftRingDistal_rotation_z,leftRingDistal_rotation_w,leftRingTip_positionX,leftRingTip_positionY,leftRingTip_positionZ,leftRingTip_rotation_x,leftRingTip_rotation_y,leftRingTip_rotation_z,leftRingTip_rotation_w,leftLittleProximal_positionX,leftLittleProximal_positionY,leftLittleProximal_positionZ,leftLittleProximal_rotation_x,leftLittleProximal_rotation_y,leftLittleProximal_rotation_z,leftLittleProximal_rotation_w,leftLittleMedial_positionX,leftLittleMedial_positionY,leftLittleMedial_positionZ,leftLittleMedial_rotation_x,leftLittleMedial_rotation_y,leftLittleMedial_rotation_z,leftLittleMedial_rotation_w,leftLittleDistal_positionX,leftLittleDistal_positionY,leftLittleDistal_positionZ,leftLittleDistal_rotation_x,leftLittleDistal_rotation_y,leftLittleDistal_rotation_z,leftLittleDistal_rotation_w,leftLittleTip_positionX,leftLittleTip_positionY,leftLittleTip_positionZ,leftLittleTip_rotation_x,leftLittleTip_rotation_y,leftLittleTip_rotation_z,leftLittleTip_rotation_w,Predicted_Direction
-0.2195691,1.33141065,0.0181739926,0.612165034,-0.4136296,0.365319282,-0.5663096,-0.189480424,1.33673882,0.341480136,0.6041477,-0.416743249,0.36805746,-0.5708456,-0.198544234,1.36653841,0.3659833,0.340360165,-0.5036033,0.780556858,0.145840988,-0.172789678,1.38686359,0.3969931,0.210123509,-0.6511417,0.7287108,-0.0290409643,-0.164863408,1.39201522,0.4299287,0.211632,-0.7001281,0.6817812,-0.0143933687,-0.154031441,1.39276814,0.467537522,0.211632043,-0.7001259,0.681783438,-0.0143935848,-0.195904568,1.37345779,0.4316707,0.6011732,-0.499751747,0.3247271,-0.5323449,-0.1825879,1.3699981,0.482017875,0.64531,-0.526168048,0.2799048,-0.47788626,-0.1693725,1.36966217,0.511281,0.6720253,-0.5415645,0.24881202,-0.439524978,-0.153349876,1.37051284,0.5383517,0.67202574,-0.5415636,0.248811126,-0.439526,-0.18304351,1.34301019,0.433972448,0.613807261,-0.4054814,0.398905784,-0.547448158,-0.179774567,1.34685564,0.487316072,0.6754892,-0.450731039,0.346961647,-0.4692264,-0.169761628,1.35227466,0.520773232,0.7111647,-0.47726813,0.309443921,-0.413163751,-0.15529865,1.359214,0.550956249,0.7111646,-0.47726807,0.30944404,-0.41316393,-0.168609038,1.31465709,0.426484674,0.6054241,-0.3416744,0.429340541,-0.5765301,-0.172680229,1.319749,0.476106048,0.6588584,-0.381989241,0.393902153,-0.5146172,-0.169518963,1.32551074,0.507707059,0.6910131,-0.406861663,0.368155241,-0.470559478,-0.162737355,1.3326149,0.5375581,0.691013,-0.406861544,0.36815536,-0.4705597,-0.157209709,1.29220212,0.409809262,0.7107521,-0.290136427,0.319777846,-0.555332541,-0.154890478,1.30090308,0.4492926,0.7682214,-0.323971361,0.285446316,-0.472650915,-0.149088666,1.30964148,0.4724862,0.8012619,-0.344313443,0.260548085,-0.4141768,-0.140377879,1.3205266,0.494348168,0.801262,-0.3443134,0.260547966,-0.4141766,left
-0.219733283,1.33141136,0.01818996,0.612052143,-0.412775159,0.366292775,-0.566426337,-0.190400422,1.33711231,0.341559261,0.6041682,-0.416020632,0.36885044,-0.570839047,-0.199506789,1.366942,0.366009921,0.339565128,-0.503332138,0.7811244,0.1455915,-0.173806816,1.38729846,0.3970445,0.209513217,-0.6507009,0.7292654,-0.0294092763,-0.165933624,1.39248788,0.4299869,0.211048529,-0.6997176,0.682374537,-0.0148060191,-0.155163139,1.39328492,0.467612475,0.211048573,-0.6997153,0.6823768,-0.0148062333,-0.196982756,1.37394178,0.431693345,0.6010884,-0.498439,0.325734675,-0.533055544,-0.183833048,1.3705399,0.482088357,0.6455091,-0.5250783,0.280779868,-0.478302658,-0.170690447,1.370252,0.5113848,0.672384262,-0.540604651,0.249582022,-0.439721376,-0.15472059,1.37115717,0.538484931,0.6723847,-0.5406037,0.249581128,-0.4397224,-0.184126392,1.3434968,0.43405503,0.6139729,-0.405694216,0.3986824,-0.5472677,-0.180815428,1.347345,0.487395883,0.675309062,-0.45067817,0.3470225,-0.46949172,-0.170819268,1.35274982,0.5208604,0.7108167,-0.477079272,0.309726745,-0.413768858,-0.156397626,1.35966718,0.5510682,0.710816562,-0.4770792,0.309726864,-0.413769037,-0.169679359,1.31513429,0.4266274,0.6056313,-0.340757668,0.4300262,-0.5763439,-0.1738306,1.32031024,0.476233423,0.6589941,-0.381103724,0.3947129,-0.514478743,-0.170727059,1.32612479,0.507830441,0.691107452,-0.40600583,0.369049549,-0.4704593,-0.164004341,1.33327866,0.53768295,0.691107333,-0.4060057,0.369049668,-0.470459521,-0.1582511,1.29265869,0.4099996,0.710857868,-0.289559782,0.320603073,-0.5550225,-0.155991659,1.30141461,0.449474245,0.7683129,-0.323503017,0.2863163,-0.4722969,-0.150222421,1.31018543,0.47266373,0.80133903,-0.3439189,0.261440337,-0.413793236,-0.141540617,1.32110119,0.494521976,0.801339149,-0.34391886,0.261440217,-0.413793057,left
-0.219992653,1.3313818,0.0181073248,0.611176,-0.4122061,0.368005276,-0.5666766,-0.191810414,1.33720338,0.341576755,0.6032271,-0.4157939,0.3702966,-0.57106334,-0.200927809,1.367052,0.366000354,0.3379373,-0.5039297,0.781427145,0.1456874,-0.175272822,1.38735151,0.39710933,0.207807273,-0.6509094,0.7295616,-0.02954963,-0.167480335,1.39252186,0.430073917,0.209356457,-0.699947536,0.6826541,-0.01506389,-0.156812876,1.393293,0.46772936,0.2093565,-0.6999453,0.682656348,-0.0150640989,-0.198579475,1.37404835,0.431690633,0.5996082,-0.49679777,0.327617526,-0.5350969,-0.185784087,1.37058938,0.482172877,0.6450787,-0.524117351,0.281855077,-0.479303867,-0.172746956,1.37030458,0.5115164,0.6725426,-0.54000926,0.250062555,-0.43993777,-0.156813622,1.37123823,0.538637042,0.672543,-0.5400083,0.250061661,-0.439938784,-0.185790747,1.34357786,0.4340901,0.61322695,-0.406639636,0.399008542,-0.547164559,-0.182464808,1.34735584,0.487435043,0.6740964,-0.4513152,0.347675234,-0.4701388,-0.1725145,1.352677,0.520926535,0.70938915,-0.477563441,0.3106386,-0.414974421,-0.158167332,1.35949445,0.551192462,0.709389031,-0.477563381,0.310638726,-0.4149746,-0.171378925,1.3151865,0.426704884,0.6050584,-0.3403143,0.43146202,-0.576134741,-0.175650358,1.32041681,0.476295024,0.6582697,-0.3806996,0.396284163,-0.5144978,-0.172634482,1.32625,0.507897139,0.6903042,-0.405640632,0.3707142,-0.470645338,-0.166001663,1.33341146,0.537767947,0.6903041,-0.4056405,0.3707143,-0.470645547,-0.159947574,1.29268765,0.410110652,0.7101078,-0.2897101,0.3222573,-0.554946065,-0.157769442,1.30144346,0.4495899,0.767607868,-0.323866665,0.2879099,-0.472224981,-0.152034879,1.31020582,0.4727912,0.800659239,-0.344418347,0.2629786,-0.413718641,-0.143376455,1.32110691,0.494666,0.800659359,-0.344418317,0.2629785,-0.413718462,left
-0.220178977,1.33135462,0.0180260763,0.610648334,-0.411578357,0.368863076,-0.5671438,-0.192814618,1.337168,0.341565877,0.6026282,-0.415308744,0.371071845,-0.5715451,-0.201975822,1.36701417,0.365975976,0.336960673,-0.504201233,0.7817405,0.145328581,-0.17637822,1.38729835,0.397142142,0.206801638,-0.6510355,0.729710639,-0.0301372278,-0.1686585,1.392455,0.430125952,0.2083949,-0.700122952,0.6827537,-0.01570785,-0.1580754,1.3932054,0.467805624,0.208394945,-0.7001207,0.682755947,-0.0157080553,-0.199777707,1.37399244,0.431673348,0.598356962,-0.4952974,0.3290459,-0.5370086,-0.187286377,1.37047482,0.482227653,0.645098865,-0.5233955,0.282219619,-0.4798507,-0.174299613,1.37020493,0.51159364,0.673264146,-0.5396906,0.249649331,-0.4394594,-0.1583363,1.37118673,0.5386949,0.673264563,-0.53968966,0.249648437,-0.439460427,-0.187008053,1.34351575,0.434094667,0.61279875,-0.406570435,0.3993446,-0.547450364,-0.183737263,1.3472662,0.487444937,0.673486233,-0.451125622,0.348225951,-0.470787227,-0.1738497,1.35255635,0.5209599,0.7087032,-0.47732237,0.3113501,-0.415889442,-0.159576267,1.35933757,0.5512688,0.7087031,-0.4773223,0.311350226,-0.415889621,-0.172591552,1.31511974,0.42673564,0.604611754,-0.339620084,0.432224363,-0.5764417,-0.176977456,1.320362,0.4763145,0.6578099,-0.3800481,0.397143781,-0.5149045,-0.174039528,1.32620013,0.507923067,0.689844251,-0.405024618,0.37163797,-0.471121371,-0.167483583,1.33336484,0.53781,0.689844131,-0.4050245,0.3716381,-0.471121579,-0.161131427,1.2926203,0.41016227,0.7095339,-0.289454967,0.32326737,-0.5552259,-0.159034148,1.30136287,0.449648827,0.7671183,-0.323756158,0.288908184,-0.472486734,-0.153339818,1.31011629,0.4728634,0.8002195,-0.344400972,0.263958275,-0.413960159,-0.1447143,1.32100761,0.494756073,0.8002196,-0.344400942,0.263958156,-0.41395998,left
-0.220178977,1.33135462,0.0180260763,0.610648334,-0.411578357,0.368863076,-0.5671438,-0.192814618,1.337168,0.341565877,0.6026282,-0.415308744,0.371071845,-0.5715451,-0.201975822,1.36701417,0.365975976,0.336960673,-0.504201233,0.7817405,0.145328581,-0.17637822,1.38729835,0.397142142,0.206801638,-0.6510355,0.729710639,-0.0301372278,-0.1686585,1.392455,0.430125952,0.2083949,-0.700122952,0.6827537,-0.01570785,-0.1580754,1.3932054,0.467805624,0.208394945,-0.7001207,0.682755947,-0.0157080553,-0.199777707,1.37399244,0.431673348,0.598356962,-0.4952974,0.3290459,-0.5370086,-0.187286377,1.37047482,0.482227653,0.645098865,-0.5233955,0.282219619,-0.4798507,-0.174299613,1.37020493,0.51159364,0.673264146,-0.5396906,0.249649331,-0.4394594,-0.1583363,1.37118673,0.5386949,0.673264563,-0.53968966,0.249648437,-0.439460427,-0.187008053,1.34351575,0.434094667,0.61279875,-0.406570435,0.3993446,-0.547450364,-0.183737263,1.3472662,0.487444937,0.673486233,-0.451125622,0.348225951,-0.470787227,-0.1738497,1.35255635,0.5209599,0.7087032,-0.47732237,0.3113501,-0.415889442,-0.159576267,1.35933757,0.5512688,0.7087031,-0.4773223,0.311350226,-0.415889621,-0.172591552,1.31511974,0.42673564,0.604611754,-0.339620084,0.432224363,-0.5764417,-0.176977456,1.320362,0.4763145,0.6578099,-0.3800481,0.397143781,-0.5149045,-0.174039528,1.32620013,0.507923067,0.689844251,-0.405024618,0.37163797,-0.471121371,-0.167483583,1.33336484,0.53781,0.689844131,-0.4050245,0.3716381,-0.471121579,-0.161131427,1.2926203,0.41016227,0.7095339,-0.289454967,0.32326737,-0.5552259,-0.159034148,1.30136287,0.449648827,0.7671183,-0.323756158,0.288908184,-0.472486734,-0.153339818,1.31011629,0.4728634,0.8002195,-0.344400972,0.263958275,-0.413960159,-0.1447143,1.32100761,0.494756073,0.8002196,-0.344400942,0.263958156,-0.41395998,left
-0.220178977,1.33135462,0.0180260763,0.610648334,-0.411578357,0.368863076,-0.5671438,-0.192814618,1.337168,0.341565877,0.6026282,-0.415308744,0.371071845,-0.5715451,-0.201975822,1.36701417,0.365975976,0.336960673,-0.504201233,0.7817405,0.145328581,-0.17637822,1.38729835,0.397142142,0.206801638,-0.6510355,0.729710639,-0.0301372278,-0.1686585,1.392455,0.430125952,0.2083949,-0.700122952,0.6827537,-0.01570785,-0.1580754,1.3932054,0.467805624,0.208394945,-0.7001207,0.682755947,-0.0157080553,-0.199777707,1.37399244,0.431673348,0.598356962,-0.4952974,0.3290459,-0.5370086,-0.187286377,1.37047482,0.482227653,0.645098865,-0.5233955,0.282219619,-0.4798507,-0.174299613,1.37020493,0.51159364,0.673264146,-0.5396906,0.249649331,-0.4394594,-0.1583363,1.37118673,0.5386949,0.673264563,-0.53968966,0.249648437,-0.439460427,-0.187008053,1.34351575,0.434094667,0.61279875,-0.406570435,0.3993446,-0.547450364,-0.183737263,1.3472662,0.487444937,0.673486233,-0.451125622,0.348225951,-0.470787227,-0.1738497,1.35255635,0.5209599,0.7087032,-0.47732237,0.3113501,-0.415889442,-0.159576267,1.35933757,0.5512688,0.7087031,-0.4773223,0.311350226,-0.415889621,-0.172591552,1.31511974,0.42673564,0.604611754,-0.339620084,0.432224363,-0.5764417,-0.176977456,1.320362,0.4763145,0.6578099,-0.3800481,0.397143781,-0.5149045,-0.174039528,1.32620013,0.507923067,0.689844251,-0.405024618,0.37163797,-0.471121371,-0.167483583,1.33336484,0.53781,0.689844131,-0.4050245,0.3716381,-0.471121579,-0.161131427,1.2926203,0.41016227,0.7095339,-0.289454967,0.32326737,-0.5552259,-0.159034148,1.30136287,0.449648827,0.7671183,-0.323756158,0.288908184,-0.472486734,-0.153339818,1.31011629,0.4728634,0.8002195,-0.344400972,0.263958275,-0.413960159,-0.1447143,1.32100761,0.494756073,0.8002196,-0.344400942,0.263958156,-0.41395998,left
-0.220178977,1.33135462,0.0180260763,0.610648334,-0.411578357,0.368863076,-0.5671438,-0.192814618,1.337168,0.341565877,0.6026282,-0.415308744,0.371071845,-0.5715451,-0.201975822,1.36701417,0.365975976,0.336960673,-0.504201233,0.7817405,0.145328581,-0.17637822,1.38729835,0.397142142,0.206801638,-0.6510355,0.729710639,-0.0301372278,-0.1686585,1.392455,0.430125952,0.2083949,-0.700122952,0.6827537,-0.01570785,-0.1580754,1.3932054,0.467805624,0.208394945,-0.7001207,0.682755947,-0.0157080553,-0.199777707,1.37399244,0.431673348,0.598356962,-0.4952974,0.3290459,-0.5370086,-0.187286377,1.37047482,0.482227653,0.645098865,-0.5233955,0.282219619,-0.4798507,-0.174299613,1.37020493,0.51159364,0.673264146,-0.5396906,0.249649331,-0.4394594,-0.1583363,1.37118673,0.5386949,0.673264563,-0.53968966,0.249648437,-0.439460427,-0.187008053,1.34351575,0.434094667,0.61279875,-0.406570435,0.3993446,-0.547450364,-0.183737263,1.3472662,0.487444937,0.673486233,-0.451125622,0.348225951,-0.470787227,-0.1738497,1.35255635,0.5209599,0.7087032,-0.47732237,0.3113501,-0.415889442,-0.159576267,1.35933757,0.5512688,0.7087031,-0.4773223,0.311350226,-0.415889621,-0.172591552,1.31511974,0.42673564,0.604611754,-0.339620084,0.432224363,-0.5764417,-0.176977456,1.320362,0.4763145,0.6578099,-0.3800481,0.397143781,-0.5149045,-0.174039528,1.32620013,0.507923067,0.689844251,-0.405024618,0.37163797,-0.471121371,-0.167483583,1.33336484,0.53781,0.689844131,-0.4050245,0.3716381,-0.471121579,-0.161131427,1.2926203,0.41016227,0.7095339,-0.289454967,0.32326737,-0.5552259,-0.159034148,1.30136287,0.449648827,0.7671183,-0.323756158,0.288908184,-0.472486734,-0.153339818,1.31011629,0.4728634,0.8002195,-0.344400972,0.263958275,-0.413960159,-0.1447143,1.32100761,0.494756073,0.8002196,-0.344400942,0.263958156,-0.41395998,left
-0.220178977,1.33135462,0.0180260763,0.610648334,-0.411578357,0.368863076,-0.5671438,-0.192814618,1.337168,0.341565877,0.6026282,-0.415308744,0.371071845,-0.5715451,-0.201975822,1.36701417,0.365975976,0.336960673,-0.504201233,0.7817405,0.145328581,-0.17637822,1.38729835,0.397142142,0.206801638,-0.6510355,0.729710639,-0.0301372278,-0.1686585,1.392455,0.430125952,0.2083949,-0.700122952,0.6827537,-0.01570785,-0.1580754,1.3932054,0.467805624,0.208394945,-0.7001207,0.682755947,-0.0157080553,-0.199777707,1.37399244,0.431673348,0.598356962,-0.4952974,0.3290459,-0.5370086,-0.187286377,1.37047482,0.482227653,0.645098865,-0.5233955,0.282219619,-0.4798507,-0.174299613,1.37020493,0.51159364,0.673264146,-0.5396906,0.249649331,-0.4394594,-0.1583363,1.37118673,0.5386949,0.673264563,-0.53968966,0.249648437,-0.439460427,-0.187008053,1.34351575,0.434094667,0.61279875,-0.406570435,0.3993446,-0.547450364,-0.183737263,1.3472662,0.487444937,0.673486233,-0.451125622,0.348225951,-0.470787227,-0.1738497,1.35255635,0.5209599,0.7087032,-0.47732237,0.3113501,-0.415889442,-0.159576267,1.35933757,0.5512688,0.7087031,-0.4773223,0.311350226,-0.415889621,-0.172591552,1.31511974,0.42673564,0.604611754,-0.339620084,0.432224363,-0.5764417,-0.176977456,1.320362,0.4763145,0.6578099,-0.3800481,0.397143781,-0.5149045,-0.174039528,1.32620013,0.507923067,0.689844251,-0.405024618,0.37163797,-0.471121371,-0.167483583,1.33336484,0.53781,0.689844131,-0.4050245,0.3716381,-0.471121579,-0.161131427,1.2926203,0.41016227,0.7095339,-0.289454967,0.32326737,-0.5552259,-0.159034148,1.30136287,0.449648827,0.7671183,-0.323756158,0.288908184,-0.472486734,-0.153339818,1.31011629,0.4728634,0.8002195,-0.344400972,0.263958275,-0.413960159,-0.1447143,1.32100761,0.494756073,0.8002196,-0.344400942,0.263958156,-0.41395998,left
-0.220078558,1.33122671,0.01756522,0.6087318,-0.413915157,0.367467284,-0.5684083,-0.192090273,1.33485472,0.341083556,0.60067904,-0.4178622,0.369143873,-0.5729826,-0.2011452,1.36453092,0.3657393,0.338315636,-0.506890953,0.7792847,0.146011651,-0.175387919,1.38455164,0.396944255,0.206993744,-0.653952658,0.7270753,-0.0293517616,-0.167573661,1.38945067,0.4299451,0.208533272,-0.7029068,0.679863632,-0.0148935486,-0.156890646,1.38989723,0.467601418,0.208533317,-0.7029046,0.6798659,-0.0148937553,-0.19876647,1.37101591,0.4314809,0.5971655,-0.496191233,0.3269377,-0.538794041,-0.186223775,1.36720526,0.482001245,0.6438277,-0.5239476,0.2803087,-0.482070148,-0.173237979,1.36676109,0.511365533,0.671979249,-0.5400395,0.247894049,-0.4419838,-0.1572944,1.3675791,0.538483858,0.671979666,-0.5400385,0.247893155,-0.4419848,-0.186034352,1.34050393,0.433641672,0.612262547,-0.409509629,0.397067219,-0.547516167,-0.182463259,1.34398961,0.48699066,0.6722182,-0.453227967,0.346330643,-0.471976817,-0.172482282,1.34906614,0.520511031,0.7070943,-0.478942126,0.309798062,-0.41792,-0.158181936,1.35562575,0.550856,0.7070942,-0.478942066,0.309798181,-0.417920172,-0.1716778,1.31214321,0.4260336,0.6033427,-0.341387361,0.430150479,-0.5782755,-0.175959408,1.317053,0.4756556,0.657051563,-0.381854564,0.394666821,-0.5164381,-0.1729202,1.32270014,0.507289231,0.689386249,-0.406821936,0.368877739,-0.472410649,-0.166246191,1.32969666,0.5371899,0.6893861,-0.406821817,0.368877858,-0.472410858,-0.160293058,1.28975189,0.409263074,0.7072671,-0.293018162,0.3222948,-0.5568121,-0.158042476,1.29818344,0.4488088,0.7648942,-0.327098221,0.2876462,-0.474555969,-0.152254611,1.30672634,0.4720786,0.7980688,-0.3475847,0.262523264,-0.416356385,-0.143537551,1.31740022,0.494041979,0.798068941,-0.347584665,0.262523144,-0.4163562,left
-0.220009521,1.331214,0.0175141543,0.6087242,-0.414238751,0.366747648,-0.568645537,-0.191686183,1.3344928,0.341007054,0.60084486,-0.4182061,0.368271858,-0.573118865,-0.200729817,1.364138,0.365704268,0.339144737,-0.5069922,0.7788765,0.145915285,-0.174943656,1.38415194,0.3968897,0.20775637,-0.6542208,0.726619363,-0.0292808041,-0.167086959,1.38902712,0.429884,0.209289208,-0.7031466,0.679386139,-0.0147685492,-0.156351209,1.38944769,0.4675256,0.209289253,-0.7031444,0.6793884,-0.0147687579,-0.198261067,1.37056208,0.431448549,0.597620964,-0.496920317,0.326015949,-0.5381753,-0.1855764,1.36674547,0.481932938,0.644069254,-0.524499238,0.27949366,-0.4816204,-0.172526345,1.366292,0.511268556,0.672097862,-0.5404872,0.247163355,-0.441664875,-0.156534508,1.36709738,0.538358867,0.6720983,-0.5404862,0.247162461,-0.4416659,-0.185500666,1.34005845,0.433561653,0.6125741,-0.409620523,0.396395415,-0.5475717,-0.181871563,1.34352791,0.48690778,0.672560453,-0.453277946,0.345625967,-0.471958,-0.171853274,1.34860253,0.520417333,0.707449555,-0.478947818,0.3090743,-0.4178482,-0.157518819,1.35516584,0.550745368,0.707449436,-0.478947759,0.309074432,-0.417848378,-0.171131775,1.311717,0.425905615,0.6034932,-0.34171465,0.4293284,-0.578536034,-0.175352082,1.31657422,0.475538045,0.65729934,-0.382155,0.3937631,-0.5165904,-0.172267765,1.32219636,0.50717175,0.6896876,-0.4070971,0.367918223,-0.472481877,-0.165547282,1.32917452,0.5370663,0.6896875,-0.407096982,0.367918342,-0.4724821,-0.15975292,1.289351,0.409097224,0.707381546,-0.293378443,0.321426034,-0.55697906,-0.157444149,1.29775035,0.448646426,0.7649867,-0.327335447,0.2867701,-0.4747733,-0.151627511,1.30627489,0.4719158,0.798153937,-0.3477415,0.261651367,-0.416610867,-0.142887056,1.31693208,0.493877977,0.798154056,-0.347741485,0.261651248,-0.4166107,left
